mapid,name,category1,category2,address,short_description,url,geom,geo_local_area,longitude,latitude
GCP130,Annual Earth Day Vancouver Celebration,Greenest City Fund Project,Lighter-Footprint,Grandview Park,2012 Greenest City Generation Green grant project.  Annual Earth Day Vancouver Celebration.,http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0705231, 49.27348854], 'type': 'Point'}, 'properties': {}}",Grandview-Woodland,-123.0705231,49.27348854
GCP131,Environmental Youth Alliance,Greenest City Fund Project,Local-Food,Suite 517-119 West Pender Street,2012 Greenest City Generation Green grant project. To build a community nursery.,http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1082024, 49.2813107], 'type': 'Point'}, 'properties': {}}",Downtown,-123.1082024,49.2813107
GCP144,Collingwood Green Program,Greenest City Fund Project,Lighter-Footprint,South Van - Collingwood,South Van - Collingwood - Greenest City Small grants 2012 project.,http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.03903400652, 49.2442900026578], 'type': 'Point'}, 'properties': {}}",Renfrew-Collingwood,-123.03903400652,49.2442900026578
GCP153,Salsbury Herb Garden,Greenest City Fund Project,Local-Food,"Cedar Cottage, Kensington and Hastings-Sunrise","Kensington, Cedar Cottage - Greenest City Small grants 2012 project.",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.059350004869, 49.2581499912127], 'type': 'Point'}, 'properties': {}}",Kensington-Cedar Cottage,-123.059350004869,49.2581499912127
GCP165,Natural Playground,Greenest City Fund Project,Access-to-Nature,"Cedar Cottage, Kensington and Hastings-Sunrise","Kensington, Cedar Cottage - Greenest City Small grants 2012 project.",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0593533, 49.25811876], 'type': 'Point'}, 'properties': {}}",Kensington-Cedar Cottage,-123.0593533,49.25811876
GCP168,Styro free challenge,Greenest City Fund Project,Zero-Waste,West End,West End Neighbourhood - Greenest City Small grants 2012 project.,http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.133719992773, 49.2855299881578], 'type': 'Point'}, 'properties': {}}",West End,-123.133719992773,49.2855299881578
GCP171,Organic coop,Greenest City Fund Project,Local-Food,West End,West End Neighbourhood - Greenest City Small grants 2012 project.,http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.133789981938, 49.285502995302], 'type': 'Point'}, 'properties': {}}",West End,-123.133789981938,49.285502995302
GCP181,Home harvest,Greenest City Fund Project,Local-Food,West End,West End Neighbourhood - Greenest City Small grants 2012 project.,http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.13378999357, 49.2855159846491], 'type': 'Point'}, 'properties': {}}",West End,-123.13378999357,49.2855159846491
GCP195,Maple St Medicinal Herb Garden,Greenest City Fund Project,Local-Food,Kitsilano,Kitsilano Neighbourhood House - Greenest City Small grants 2012 project.,http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.157129993235, 49.2652599924053], 'type': 'Point'}, 'properties': {}}",Kitsilano,-123.157129993235,49.2652599924053
GCP196,Kits Village Collaborative Garden,Greenest City Fund Project,Local-Food,Kitsilano,Kitsilano Neighbourhood House - Greenest City Small grants 2012 project.,http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.157199984093, 49.2654799871116], 'type': 'Point'}, 'properties': {}}",Kitsilano,-123.157199984093,49.2654799871116
GCP201,Community Garden (SGSC),Greenest City Fund Project,Local-Food,Kitsilano,Kitsilano Neighbourhood House - Greenest City Small grants 2012 project.,http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.157289999192, 49.2650999852985], 'type': 'Point'}, 'properties': {}}",Kitsilano,-123.157289999192,49.2650999852985
GCP204,Playhouse and Sandbox,Greenest City Fund Project,Lighter-Footprint,Kitsilano,Kitsilano Neighbourhood House - Greenest City Small grants 2012 project.,http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.157279986935, 49.2652099974543], 'type': 'Point'}, 'properties': {}}",Kitsilano,-123.157279986935,49.2652099974543
GCP214,Clothing Project,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain","Mount Pleasant, Little Mountain - Greenest City Small grants 2012 project.",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.100130007971, 49.2470150011482], 'type': 'Point'}, 'properties': {}}",Riley Park,-123.100130007971,49.2470150011482
GCP217,Fall Harvest Party,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain","Mount Pleasant, Little Mountain - Greenest City Small grants 2012 project.",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.100050002787, 49.2471300076315], 'type': 'Point'}, 'properties': {}}",Riley Park,-123.100050002787,49.2471300076315
GCP223,Park Fruit Tree Project,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain","Mount Pleasant, Little Mountain - Greenest City Small grants 2012 project.",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.10006000627, 49.2471100004907], 'type': 'Point'}, 'properties': {}}",Riley Park,-123.10006000627,49.2471100004907
GCP230,Social Community Garden,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain","Mount Pleasant, Little Mountain - Greenest City Small grants 2012 project.",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.100038003834, 49.2470500082506], 'type': 'Point'}, 'properties': {}}",Riley Park,-123.100038003834,49.2470500082506
GCP247,Junk to Funk – Recycle Art Project,Greenest City Fund Project,Zero-Waste,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.","Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.090790004126, 49.2796299977456], 'type': 'Point'}, 'properties': {}}",Strathcona,-123.090790004126,49.2796299977456
GCP309,Community Garden,Private projects,Local-Food,1060  Howe St,Bosman Hotel,http://vancouver.ca/people-programs/community-gardens.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1249964, 49.27919559], 'type': 'Point'}, 'properties': {}}",Downtown,-123.1249964,49.27919559
GCP333,Community Garden,Private projects,Local-Food,58 W Hastings St,Hastings Urban Farm,http://vancouver.ca/people-programs/community-gardens.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1059953, 49.28170671], 'type': 'Point'}, 'properties': {}}",Downtown,-123.1059953,49.28170671
GCP338,Community Garden,Private projects,Local-Food,2776  Semlin Dr,Lakeview United Church,http://vancouver.ca/people-programs/community-gardens.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0639879, 49.25980982], 'type': 'Point'}, 'properties': {}}",Kensington-Cedar Cottage,-123.0639879,49.25980982
GCP342,Community Garden,Private projects,Local-Food,1305  W 70th Ave,Marpole Family Place,http://vancouver.ca/people-programs/community-gardens.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1340388, 49.20847627], 'type': 'Point'}, 'properties': {}}",Marpole,-123.1340388,49.20847627
GCP359,Community Garden,Private projects,Local-Food,11 W 10th Ave,Tenth Church,http://vancouver.ca/people-programs/community-gardens.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1049703, 49.26209952], 'type': 'Point'}, 'properties': {}}",Mount Pleasant,-123.1049703,49.26209952
GCP011,LEED Platinum Neighbourhood Certified in,Private projects,Green-Buildings,12 Athletes Way,Southeast False Creek Neighbourhood,http://greenbuildingbrain.org/items/southeast_false_creek_olympic_village,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1053979, 49.27154122], 'type': 'Point'}, 'properties': {}}",Mount Pleasant,-123.1053979,49.27154122
GCP012,LEED Gold Building Certified 2012,Private projects,Green-Buildings,1866 Main Mall,UBC Renew - Buchanan Complex,http://www.projectservices.lbs.ubc.ca/portfolio/renewal/buchanan-block-a.htm,"{'type': 'Feature', 'geometry': {'coordinates': [-123.2548825, 49.26730312], 'type': 'Point'}, 'properties': {}}",,-123.2548825,49.26730312
GCP047,BiodiverCity,City Studio Project,Access-to-Nature,1800 Spyglass Pl,Spring 2013 City Studio Project - Garden of food sources for a range of pollinators,http://citystudiovancouver.com/projects/biodivercity-pollinator-garden/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1153869, 49.27031023], 'type': 'Point'}, 'properties': {}}",Fairview,-123.1153869,49.27031023
GCP054,Marpole Orphaned Spaces,City Studio Project,Access-to-Nature,Marpole neighbourhood,Fall 2012 City Studio Project - Mapping orphaned public spaces in the neighbourhood of Marpole.,http://citystudiovancouver.com/projects/marpoles-orphaned-spaces/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1305442, 49.21067815], 'type': 'Point'}, 'properties': {}}",Marpole,-123.1305442,49.21067815
GCP081,Community orchards,Private projects,Local-Food,500 block of East 23rd Ave,Tupper Neighbourhood Greenway,http://www.mgabc.org/content/tupper-neighborhood-greenway-healing-community,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0967905, 49.25019867], 'type': 'Point'}, 'properties': {}}",Riley Park,-123.0967905,49.25019867
GCP145,The Moss is greener on the other wall,Greenest City Fund Project,Lighter-Footprint,South Van - Collingwood,South Van - Collingwood - Greenest City Small grants 2012 project.,http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.039068995531, 49.2442600121719], 'type': 'Point'}, 'properties': {}}",Renfrew-Collingwood,-123.039068995531,49.2442600121719
GCP147,Climate Change Conference,Greenest City Fund Project,Lighter-Footprint,South Van - Collingwood,South Van - Collingwood - Greenest City Small grants 2012 project.,http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0390070073, 49.2442730081473], 'type': 'Point'}, 'properties': {}}",Renfrew-Collingwood,-123.0390070073,49.2442730081473
GCP154,Pollinating our Communities,Greenest City Fund Project,Local-Food,"Cedar Cottage, Kensington and Hastings-Sunrise","Kensington, Cedar Cottage - Greenest City Small grants 2012 project.",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.059388003483, 49.2581299902344], 'type': 'Point'}, 'properties': {}}",Kensington-Cedar Cottage,-123.059388003483,49.2581299902344
GCP206,Shared Composter for the Cypress Communi,Greenest City Fund Project,Zero-Waste,Kitsilano,Kitsilano Neighbourhood House - Greenest City Small grants 2012 project.,http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.157266980518, 49.2651799898088], 'type': 'Point'}, 'properties': {}}",Kitsilano,-123.157266980518,49.2651799898088
GCP215,Online Food Project & Event,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain","Mount Pleasant, Little Mountain - Greenest City Small grants 2012 project.",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.100030002708, 49.2470300058059], 'type': 'Point'}, 'properties': {}}",Riley Park,-123.100030002708,49.2470300058059
GCP240,Community Kitchen & Garden Project,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain","Mount Pleasant, Little Mountain - Greenest City Small grants 2012 project.",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.100129999807, 49.2470400102274], 'type': 'Point'}, 'properties': {}}",Riley Park,-123.100129999807,49.2470400102274
GCP243,Community Herb Garden  and Celebration,Greenest City Fund Project,Local-Food,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.","Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.090789992586, 49.2796599986643], 'type': 'Point'}, 'properties': {}}",Strathcona,-123.090789992586,49.2796599986643
GCP257,EAST WEST Park Garden Project,Greenest City Fund Project,Local-Food,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.","Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0907271, 49.27954477], 'type': 'Point'}, 'properties': {}}",Strathcona,-123.0907271,49.27954477
GCP268,Electric Vehicle Charging Station,Private projects,Clean-Air,3228 Ross Drive,U-Hill Sec. 2 charging stations are available to the public during non school hours; weekdays 5:00pm to 7:30am and weekends. Located in the NE corner of the U-Hill Sec parking lot.,http://www.plugshare.com/?location=14875,"{'type': 'Feature', 'geometry': {'coordinates': [-123.2401761, 49.25390538], 'type': 'Point'}, 'properties': {}}",,-123.2401761,49.25390538
GCP270,Electric Vehicle Charging Station,Private projects,Clean-Air,290 SW Marine Dr,Southside Nissan. Station only available during store hours. Located at the front (northeast) corner of the dealership.,http://www.plugshare.com/?location=5465,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1127524, 49.21108684], 'type': 'Point'}, 'properties': {}}",Marpole,-123.1127524,49.21108684
GCP271,Electric Vehicle Charging Station,Private projects,Clean-Air,26 Marine Drive SW,"Canadian Tire. Two free Level 2 stations, plus eight 120V-only stalls on the ground floor. Five 120V stalls on the 2nd level. Part of FCM funded trial.",http://www.plugshare.com/?location=11316,"{'type': 'Feature', 'geometry': {'coordinates': [-123.106973, 49.21200383], 'type': 'Point'}, 'properties': {}}",Marpole,-123.106973,49.21200383
GCP273,Electric Vehicle Charging Station,City projects,Clean-Air,6810 Main Street,"Sunset Community Centre. Wall outlet. If not powered, talk to reception staff to check if the breaker is on.",http://www.plugshare.com/?location=2802,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1015535, 49.22276429], 'type': 'Point'}, 'properties': {}}",Sunset,-123.1015535,49.22276429
GCP279,Electric Vehicle Charging Station,City projects,Clean-Air,535 Richards St,"EasyPark Lot 5. The stall at lot 3 is located near the Richards Street entrance. These stalls are preferred stalls for electric vehicles, but are not reserved for electric vehicles at this time. Other 120V plugs in lot ok for use.",http://www.plugshare.com/?location=2796,"{'type': 'Feature', 'geometry': {'coordinates': [-123.113911171598, 49.2828569318384], 'type': 'Point'}, 'properties': {}}",Downtown,-123.113911171598,49.2828569318384
GCP283,Electric Vehicle Charging Station,Private projects,Clean-Air,999 Canada Place,"Canada Place. 4 charging stations. On P1 across from exit gates/parking office, just north of the south elevators. Part of FCM funded trial.",http://www.plugshare.com/?location=9086,"{'type': 'Feature', 'geometry': {'coordinates': [-123.11661, 49.28850967], 'type': 'Point'}, 'properties': {}}",Downtown,-123.11661,49.28850967
GCP288,Electric Vehicle Charging Station,City projects,Clean-Air,480 Broughton St,"Coal Harbour Community Centre (EasyPark Lot 44). Available 24/7. Two charging docks, need ChargePoint card or Credit Card. Part of FCM funded trial.",http://www.plugshare.com/?location=7039,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1267941, 49.28996565], 'type': 'Point'}, 'properties': {}}",Downtown,-123.1267941,49.28996565
GCP290,Electric Vehicle Charging Station,Private projects,Clean-Air,1799 Barclay St,King George Secondary. Charging stations are available to the public during non school hours; weekdays 5:00pm to 7:30am and weekends. Located in the King George Secondary school parking lot adjacent to the chain link fence by the basketball court.,http://www.plugshare.com/?location=15383,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1366952, 49.28980613], 'type': 'Point'}, 'properties': {}}",West End,-123.1366952,49.28980613
GCP319,Community Garden,Private projects,Local-Food,453  W 12th Ave,City Hall expansion,http://vancouver.ca/people-programs/community-gardens.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1139625, 49.26068972], 'type': 'Point'}, 'properties': {}}",Mount Pleasant,-123.1139625,49.26068972
GCP323,Community Garden,Private projects,Local-Food,5580  Dunbar St,PosAbilities  Dunbar and 41st garden,http://vancouver.ca/people-programs/community-gardens.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1852132, 49.23451246], 'type': 'Point'}, 'properties': {}}",Dunbar-Southlands,-123.1852132,49.23451246
GCP343,Community Garden,Private projects,Local-Food,1305 W 70th Ave,Marpole Place extension,http://vancouver.ca/people-programs/community-gardens.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1344276, 49.20841211], 'type': 'Point'}, 'properties': {}}",Marpole,-123.1344276,49.20841211
GCP348,Community Garden,Private projects,Local-Food,989  Main Street,Millross Gardens on Main,http://vancouver.ca/people-programs/community-gardens.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1009477, 49.27571443], 'type': 'Point'}, 'properties': {}}",Downtown,-123.1009477,49.27571443
GCP352,Community Garden,Private projects,Local-Food,400  Powell St,Oppenheimer Park,http://vancouver.ca/people-programs/community-gardens.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0930161, 49.28309296], 'type': 'Point'}, 'properties': {}}",Strathcona,-123.0930161,49.28309296
GCP003,Local Garden Greenhouse,Private projects,Local-Food,535 Richards ST,Local produce growing for local restaurants and grocery stores.,http://www.localgarden.com/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.113911171598, 49.2828569318384], 'type': 'Point'}, 'properties': {}}",Downtown,-123.113911171598,49.2828569318384
GCP004,Ostara Nutrient Recovery Technologies In,Private projects,Green-Economy,690 - 1199 West Pender St,Parks Board trials Ostara's slow-release fertilizer that is sourced from waste-water.,http://ostara.com/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1232248, 49.2883616], 'type': 'Point'}, 'properties': {}}",Downtown,-123.1232248,49.2883616
GCP010,LEED Platinum for New Construction and M,Private projects,Green-Buildings,1055 Canada Pl,Vancouver Convention Centre Expansion,http://www.greenbuildingaudiotours.com/buildings/vancouver_convention_exhibition_centre_expansion_project,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1153127, 49.28855237], 'type': 'Point'}, 'properties': {}}",Downtown,-123.1153127,49.28855237
GCP040,Eastside Movement for Business and Econo,Private projects,Green-Buildings,#310 - 111 West Hastings,A social enterprise creating green jobs by hiring individuals with barriers to employment,http://www.embersvancouver.com/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.10736, 49.2820415], 'type': 'Point'}, 'properties': {}}",Downtown,-123.10736,49.2820415
GCP049,Reimagine Your Park,City Studio Project,Green-Transportation,600 E 15th Ave,Spring 2013 City Studio Project - Reimaging a local park.,http://citystudiovancouver.com/projects/reimagine-your-park/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0899434, 49.257052], 'type': 'Point'}, 'properties': {}}",Mount Pleasant,-123.0899434,49.257052
GCP059,Trout Lake Community Crawl,City Studio Project,Access-to-Nature,Cedar Cottage,"Spring 2012 City Studio Project - Tours of significant architectural, ecological and historical landmarks in the Cedar Cottage neighbourhood",http://citystudiovancouver.com/projects/parkstories/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0634937, 49.25315406], 'type': 'Point'}, 'properties': {}}",Kensington-Cedar Cottage,-123.0634937,49.25315406
GCP068,Parklets,City projects,Access-to-Nature,3010 Main Street,Parallel Park at Main and 14th. A permanent mini-park in the city.,http://vancouver.ca/streets-transportation/reducing-cars-on-city-streets.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1011457, 49.25829092], 'type': 'Point'}, 'properties': {}}",Mount Pleasant,-123.1011457,49.25829092
GCP091,Community orchards,City projects,Local-Food,8705 Angus Dr,"At Fraser River Park, 36 native crabapple trees.",http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=fac.parkdetails&park_id=92,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1506625, 49.20737277], 'type': 'Point'}, 'properties': {}}",Kerrisdale,-123.1506625,49.20737277
GCP102,Stanley Park Ecology Society,Greenest City Fund Project,Access-to-Nature,Stanley Park,"2012 Greenest City Community grant fund project, for Stanley park restoration and replanting.",http://vancouver.ca/news-calendar/city-and-vancouver-foundation-announce-winners-of-greenest-city-community-grants-for-2012.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1375866, 49.29449806], 'type': 'Point'}, 'properties': {}}",,-123.1375866,49.29449806
GCP116,Farmers Markets,Private projects,Local-Food,Croatian Cultural Centre,"Holiday Market  Saturday Only - December 14, 2013.",http://www.eatlocal.org/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0685412, 49.25548326], 'type': 'Point'}, 'properties': {}}",Kensington-Cedar Cottage,-123.0685412,49.25548326
GCP126,Living Oceans Society,Greenest City Fund Project,Local-Food,207 W Hastings St,2012 Greenest City Community grant fund project. To help increase access to local sustainable seafood.,http://vancouver.ca/news-calendar/city-and-vancouver-foundation-announce-winners-of-greenest-city-community-grants-for-2012.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1096981, 49.28282035], 'type': 'Point'}, 'properties': {}}",Downtown,-123.1096981,49.28282035
GCP132,John Henderson Elementary,Greenest City Fund Project,Local-Food,51 E 53rd Av,2012 Greenest City Generation Green grant project. Greening Henderson.,http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0955242, 49.22321504], 'type': 'Point'}, 'properties': {}}",Sunset,-123.0955242,49.22321504
GCP146,Norquay Community Learning Orchard,Greenest City Fund Project,Local-Food,South Van - Collingwood,South Van - Collingwood - Greenest City Small grants 2012 project.,http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.039025997659, 49.2442830008153], 'type': 'Point'}, 'properties': {}}",Renfrew-Collingwood,-123.039025997659,49.2442830008153
GCP149,Prayers in Garden,Greenest City Fund Project,Local-Food,South Van - Collingwood,South Van - Collingwood - Greenest City Small grants 2012 project.,http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0390828, 49.25715516], 'type': 'Point'}, 'properties': {}}",Renfrew-Collingwood,-123.0390828,49.25715516
GCP152,Oil Dependancy education station,Greenest City Fund Project,Climate-Leadership,South Van - Collingwood,South Van - Collingwood - Greenest City Small grants 2012 project.,http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0604505, 49.24430419], 'type': 'Point'}, 'properties': {}}",Kensington-Cedar Cottage,-123.0604505,49.24430419
GCP155,Adanac Growing & Harvesting Community Pr,Greenest City Fund Project,Local-Food,"Cedar Cottage, Kensington and Hastings-Sunrise","Kensington, Cedar Cottage - Greenest City Small grants 2012 project.",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.059380006234, 49.258149995024], 'type': 'Point'}, 'properties': {}}",Kensington-Cedar Cottage,-123.059380006234,49.258149995024
GCP159,Cedar Cottage Bee and Tree Project,Greenest City Fund Project,Access-to-Nature,"Cedar Cottage, Kensington and Hastings-Sunrise","Kensington, Cedar Cottage - Greenest City Small grants 2012 project.",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.059388012033, 49.2581110021461], 'type': 'Point'}, 'properties': {}}",Kensington-Cedar Cottage,-123.059388012033,49.2581110021461
GCP160,Pollinating for the People,Greenest City Fund Project,Local-Food,"Cedar Cottage, Kensington and Hastings-Sunrise","Kensington, Cedar Cottage - Greenest City Small grants 2012 project.",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0594199982, 49.258106991076], 'type': 'Point'}, 'properties': {}}",Kensington-Cedar Cottage,-123.0594199982,49.258106991076
GCP163,Accessibility at Copely Community Orchar,Greenest City Fund Project,Local-Food,"Cedar Cottage, Kensington and Hastings-Sunrise","Kensington, Cedar Cottage - Greenest City Small grants 2012 project.",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.059400008198, 49.2581399965795], 'type': 'Point'}, 'properties': {}}",Kensington-Cedar Cottage,-123.059400008198,49.2581399965795
GCP177,Street garden,Greenest City Fund Project,Local-Food,West End,West End Neighbourhood - Greenest City Small grants 2012 project.,http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.133720983445, 49.2854999912529], 'type': 'Point'}, 'properties': {}}",West End,-123.133720983445,49.2854999912529
GCP212,Edible Garden Project,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain","Mount Pleasant, Little Mountain - Greenest City Small grants 2012 project.",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.100100010364, 49.247060010179], 'type': 'Point'}, 'properties': {}}",Riley Park,-123.100100010364,49.247060010179
GCP213,Bike Rally/Ride,Greenest City Fund Project,Green-Transportation,"Mount Pleasant, Little Mountain","Mount Pleasant, Little Mountain - Greenest City Small grants 2012 project.",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.100079996214, 49.2471100102533], 'type': 'Point'}, 'properties': {}}",Riley Park,-123.100079996214,49.2471100102533
GCP244,"Organic herb, veggie, and flower garden",Greenest City Fund Project,Local-Food,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.","Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project",http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.090760004355, 49.2796699943271], 'type': 'Point'}, 'properties': {}}",Strathcona,-123.090760004355,49.2796699943271
